imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0313342,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,1030475.0,en,Dream,"16-year-old Emma has a dream - her boyfriend Tommy, has a completely different one. Emma is less at the slow small town life; Tommy wants to get married and buy houses like everyone else.",0.84,/b7s5OQTz82Jzbr5y686fSABIDSV.jpg,[],[],2001-08-26,0.0,104.0,[],Released,,Dream,0.0,0.0,0.0,
tt0313403,0.0,/i18y97XMCGiqT9uHUa89ocR7LOU.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,128800.0,cn,七號差館,After a failed operation that leaves several cops dead or wounded Officer Fong Jing wakes up at the hospital and discovers that he can see ghosts.,0.711,/p1dczLeoDqFgy214Q7EJC3KOMn4.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2001-08-30,0.0,115.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Nightmares in Precinct 7,0.0,5.5,4.0,
tt0313812,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,459153.0,cn,玉女添丁,"Fong (Miriam Yeung) is already at odds with Wu (Edison Chen), one of her bosses at an ad agency, when she makes a major mistake at work that puts her job on the line. To save herself, she feigns pregnancy, which, under Hong Kong law, means she cannot be fired for 10 months. However, while there may be some perks that accompany her ""pregnancy,"" she is eventually forced to concoct increasingly elaborate lies and involve everyone around her in the charade.",1.608,/aJP6xVwwRy7zntoMYnHx4CfAt9n.jpg,"[{'id': 29938, 'logo_path': None, 'name': 'Singing Horse Production', 'origin_country': 'HK'}, {'id': 41466, 'logo_path': None, 'name': 'Brilliant Idea Group', 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2001-11-10,0.0,90.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,"Dummy Mommy, Without a Baby",0.0,5.5,6.0,
tt0314134,0.0,/ctFk0Wx5CN2UVipqwDKkrMq1dwy.jpg,"{'id': 718362, 'name': 'Big Brother Collection', 'poster_path': '/aKTYZgyXc03pTGq8c3j8TJ4sY1Z.jpg', 'backdrop_path': None}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",,144197.0,pl,"Gulczas, a jak myślisz?","A feature film starring mostly the participants of the first edition of Polish ""Big Brother"" reality show in 2001.",1.324,/ymICHSXzFRd7JHrJkipYQYXZz8W.jpg,"[{'id': 84978, 'logo_path': None, 'name': 'Inter Investment Group', 'origin_country': ''}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",2001-12-07,0.0,100.0,"[{'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,"Gulczas, what do you think...",0.0,1.6,14.0,
tt0314474,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,108380.0,es,Otilia Rauda,Otilia is both blessed with a body that is the epitome of feminine perfection and cursed by an ugly mole that mars her beautiful face.,1.417,/pU6I7YRRrt5cPEqbOVXDknBjQtO.jpg,"[{'id': 300, 'logo_path': '/8DErUAEZtHxaDTiw4elzw32AYhT.png', 'name': 'Alameda Films', 'origin_country': 'MX'}, {'id': 2910, 'logo_path': None, 'name': 'Altavista Films', 'origin_country': 'MX'}, {'id': 198045, 'logo_path': None, 'name': 'Blu Films', 'origin_country': ''}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2002-08-02,0.0,110.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Otilia Rauda,0.0,5.3,7.0,
tt0314789,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,885308.0,fa,To Azadi,"A number of inmates from a reformatory school are scheduled for release. As a condition for their discharge, it is specified that the younger boys should live either with their families or in government supervision centers. On the appointed date, however, Mohsen Ghaderi's parents do not show up to take their son. Another boy, meanwhile, Sohrab, an orphan, is not accepted in the government supervision centers. The film depicts the real lives of these two young boys among other inmates of the reformatory school. The past, the present and whatever is destined to happen in the future are what this film is all about. The causes of crime, the roles the family and society play, and the efforts to re-educate juvenile delinquents at reformatory school are of particular interest in the film.",0.6000000000000001,/ymPgoeWqQGaFWwwNnKRu2HLTQkB.jpg,"[{'id': 66953, 'logo_path': '/4JYTCYLW0ANUddBtjUvwa0MwRvL.png', 'name': 'Farabi Cinema', 'origin_country': 'IR'}]","[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2001-02-01,0.0,87.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,You Are Free,0.0,6.0,1.0,
tt0315521,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,310503.0,en,Drop Dead Roses,"Everyguy Shawn (Brian O'Halloran) and his buddy Jason (Eddie McGee) have tapped into a unique market and figured out how to turn it into a successful business: They get revenge on your ex by delivering dead roses or mistreated chocolates, accompanied by a nasty message. But things get complicated when Shawn must make a delivery to Kayla (Diana Devlin) -- a woman he's been infatuated with. Jessica Hudson writes and directs this dark comic romp.",0.625,/yob1Ktvm9JUXWhoPlxbfpLjAiAm.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2002-04-05,0.0,93.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Drop Dead Roses,0.0,0.0,0.0,
tt0316729,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10751, 'name': 'Family'}]",,1011870.0,fa,Tarkesh-ha-ye solh,"To earn money and send it to his family in a nearby city, Jomeh, a young boy, and his friend collect the metal wastes remaining from the wartime.",0.6000000000000001,/x6a3Nh7nE8yb3NnllcLedyqSvRw.jpg,[],[],,0.0,80.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,Shrapnels in Peace,0.0,7.0,1.0,
tt0316955,0.0,,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,327778.0,is,Í faðmi hafsins,"The story revolves around the seacaptain Valdimar who marries Unnur, but on the night of their wedding strange things start to happen which leads them out to sea.",0.6000000000000001,/49TijqGq3tnqMJmiur8xBTtUx7z.jpg,[],"[{'iso_3166_1': 'IS', 'name': 'Iceland'}]",2001-12-26,0.0,111.0,"[{'english_name': 'Icelandic', 'iso_639_1': 'is', 'name': 'Íslenska'}]",Released,,In the Arm of the Sea,0.0,7.0,1.0,
tt0317333,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}]",,104402.0,cn,地上最強,A TV channel would be the first in the world to send a martial arts contest through the Internet. The competition is the people with completely different backgrounds that will make up for the title.,3.043,/cUZROIroC70sOxYiscj6aZ5m929.jpg,"[{'id': 969, 'logo_path': None, 'name': 'Golden Harvest Pictures', 'origin_country': ''}, {'id': 13279, 'logo_path': None, 'name': 'Kingsway Production', 'origin_country': 'HK'}, {'id': 13280, 'logo_path': None, 'name': 'Xiaoxiang Productions Ltd.', 'origin_country': ''}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2001-09-13,0.0,89.0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Extreme Challenge,0.0,4.7,6.0,
tt0317657,0.0,,,0.0,"[{'id': 28, 'name': 'Action'}]",,116348.0,cn,險角,"Tricky On, a tough as nails man, is brought to Macau by his best friend Ban, to rescue his daughter. However, he cannot do it alone. On hires sharpshooter Wood and martial arts assassin Rain to assist him. The trio learn they have more than just an easy task in their hands. A tale of honor, double crossing, betrayal, and high octane action.",0.807,/nxImhDyVLQlq2uAwKjRsTnF2r66.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2001-09-20,0.0,86.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,Sex and Violence Hong Kong Style....,Sharp Guns,0.0,5.4,6.0,
tt0317743,0.0,/oMu1yt9nCkysiY8R22qWbEiJF1N.jpg,"{'id': 1068726, 'name': 'Karanlık Üzerine Öyküler', 'poster_path': None, 'backdrop_path': None}",0.0,"[{'id': 18, 'name': 'Drama'}]",,79084.0,tr,İtiraf,"A taut, beautifully acted psychological drama about a husband who suspects his wife of having an affair, but is terrified that confronting her about it might prove she really is.",2.436,/2D7za33UtEJzYpHhmmY4kgGd8WV.jpg,"[{'id': 43382, 'logo_path': None, 'name': 'Mavi Film', 'origin_country': 'TR'}]","[{'iso_3166_1': 'TR', 'name': 'Turkey'}]",2001-12-01,0.0,90.0,"[{'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,The Confession,0.0,6.8,31.0,
tt0318073,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,528353.0,en,Shut Yer Dirty Little Mouth,"The true story of Pete and Ray, two down-and-out alcoholics living in the Haight district of San Francisco in the late '80s. Their outrageous and hilarious harangues make THE ODD COUPLE seem entirely tame by comparison. Watch as the two gentlemen imbibe mass quantities of vodka, report each other to the police and get hauled off to jail, raising the ire of all whose lives they disrupt.",0.841,/n8n0SngROzZKAOypfI48LMTsgGu.jpg,"[{'id': 105293, 'logo_path': None, 'name': 'SYDLM Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-11-02,0.0,75.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Shut Yer Dirty Little Mouth,0.0,0.0,0.0,
